Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)(MeV-1 cm-2)
8.2832e+01	1.4873e+05	4.1041e+04
8.3793e+01	1.4552e+05	4.0845e+04
8.4764e+01	1.4241e+05	4.0642e+04
8.5748e+01	1.3936e+05	4.0454e+04
8.6742e+01	1.3637e+05	4.0237e+04
8.7748e+01	1.3345e+05	4.0021e+04
8.8766e+01	1.3056e+05	3.9822e+04
8.9796e+01	1.2771e+05	3.9588e+04
9.0837e+01	1.2492e+05	3.9351e+04
9.1891e+01	1.2219e+05	3.9137e+04
9.2957e+01	1.1952e+05	3.8890e+04
9.4035e+01	1.1691e+05	3.8647e+04
9.5126e+01	1.1436e+05	3.8412e+04
9.6229e+01	1.1189e+05	3.8152e+04
9.7345e+01	1.0950e+05	3.7918e+04
9.8474e+01	1.0716e+05	3.7649e+04
9.9616e+01	1.0485e+05	3.7377e+04
1.0077e+02	1.0258e+05	3.7103e+04
1.0194e+02	1.0035e+05	3.6839e+04
1.0312e+02	9.8176e+04	3.6566e+04
1.0432e+02	9.6046e+04	3.6288e+04
1.0553e+02	9.3963e+04	3.6011e+04
1.0675e+02	9.1925e+04	3.5723e+04
1.0799e+02	8.9928e+04	3.5441e+04
1.0924e+02	8.7974e+04	3.5147e+04
1.1051e+02	8.6062e+04	3.4861e+04
1.1179e+02	8.4192e+04	3.4564e+04
1.1309e+02	8.2362e+04	3.4275e+04
1.1440e+02	8.0573e+04	3.3973e+04
1.1573e+02	7.8822e+04	3.3682e+04
1.1707e+02	7.7109e+04	3.3379e+04
1.1843e+02	7.5437e+04	3.3086e+04
1.1980e+02	7.3806e+04	3.2781e+04
1.2119e+02	7.2210e+04	3.2482e+04
1.2260e+02	7.0648e+04	3.2177e+04
1.2402e+02	6.9121e+04	3.1869e+04
1.2546e+02	6.7626e+04	3.1564e+04
1.2691e+02	6.6164e+04	3.1247e+04
1.2838e+02	6.4731e+04	3.0939e+04
1.2987e+02	6.3325e+04	3.0625e+04
1.3138e+02	6.1949e+04	3.0306e+04
1.3290e+02	6.0604e+04	2.9995e+04
1.3445e+02	5.9289e+04	2.9677e+04
1.3601e+02	5.8004e+04	2.9356e+04
1.3758e+02	5.6745e+04	2.9043e+04
1.3918e+02	5.5515e+04	2.8726e+04
1.4079e+02	5.4311e+04	2.8401e+04
1.4243e+02	5.3133e+04	2.8084e+04
1.4408e+02	5.1980e+04	2.7770e+04
1.4575e+02	5.0853e+04	2.7451e+04
1.4744e+02	4.9750e+04	2.7124e+04
1.4915e+02	4.8671e+04	2.6806e+04
1.5088e+02	4.7616e+04	2.6473e+04
1.5263e+02	4.6578e+04	2.6141e+04
1.5440e+02	4.5560e+04	2.5810e+04
1.5619e+02	4.4565e+04	2.5480e+04
1.5800e+02	4.3597e+04	2.5151e+04
1.5984e+02	4.2652e+04	2.4824e+04
